citation_key_cp,title,total_references,total_citations,abstract
Truex2009,Assessing Scholarly Influence: Using the Hirsch Indices to Reframe the Discourse,84,181,This study is part of a program aimed at creating ...
Turel2014a,Quitting the Use of a Habituated Hedonic Information System: A Theoretical Model and Empirical Examination of Facebook Users,53,137,Much research has been devoted to the early adopti...
Udo1994,Empirically assessing factors related to DSS benefits,34,53,This paper reports the results of a field study su...
Urbach2010,An Empirical Investigation of Employee Portal Success,111,188,Employee portals are utilized by many companies to...
Van1997,Measuring Information Systems Service Quality: Concerns on the Use of SERVQUAL Questionnaire,39,137,"Keywords: IS management, evaluation, measurement, ..."
Vance2008,Examining Trust in Information Technology Artifacts: The Effects of System Quality and Culture,84,205,The topic of trust in information technology (IT) ...
Vandenbosch1995,Executive support systems and executive preferences: a comparison of information channel selection theories,44,46,A number of theories have been put forward to expl...
Vandenbosch1996,Lotus Notes\textregistered and Collaboration: Plus ça Change..,35,48,Work in organizations is becoming increasingly foc...
Veiga2014,The Longitudinal Impact Of Enterprise System Users’ Pre-adoption Expectations And Organizational Support On Post-adoption Proficient Usage,132,206,"Although enterprise systems (ES) are ubiquitous, m..."
Venable2016,FEDS: a Framework for Evaluation in Design Science Research Open,31,74,Evaluation of design artefacts and design theories...
Venkatesh2006,Web and Wireless Site Usability: Understanding Differences and Modeling Use,55,133,"Recent research has presented a conceptualization,..."
Venkatesh2007,"Dead Or Alive? The Development, Trajectory And Future Of Technology Adoption Research",163,371,Research on individual-level technology adoption i...
Venkatesh2008,"Predicting Different Conceptualizations of System Use: The Competing Roles of Behavioral Intention, Facilitating Conditions, and Behavioral Expectation",76,157,Employees' underutilization of new information sys...
Venkatesh2011,``Doctors -Do Too Little Technology' ' : A Longitudinal Field Study of an Electronic Healthcare System Implementation,85,178,W ith the strong ongoing push toward investment in...
Venkatesh2013,Digital Divide Initiative Success in Developing Countries: A Longitudinal Field Study in a Village in India,126,204,D igital divide initiatives in developing countrie...
Venkatesh2016a,Managing Citizens' Uncertainty in E-Government Services: The Mediating and Moderating Roles of Transparency and Trust,105,171,T his paper investigates how citizens' uncertainty...
Venkatesh2016b,Unified Theory of Acceptance and Use of Technology: A Synthesis and the Road Ahead,103,255,The unified theory of acceptance and use of techno...
Wade2004,"Review: The Resource-based View and Information Systems Research: Review, Extension, and Suggestions for Future Research",156,411,Information systems researchers have a long tradit...
Wang1996,Beyond Accuracy: What Data Quality Means to Data Consumers,54,61,Poor data quality (DQ) can have substantial social...
Wang2006b,ERP Misfit: Country of Origin and Organizational Factors,67,82,There are many benefits of enterprise resource pla...
Wang2008d,Assessing E-Commerce Systems Success: A Respecification and Validation of the DeLone and McLean Model of IS Success,117,258,DeLone & McLean (2003) propose an updated informat...
Wang2015,Insider Threats in a Financial Institution: Analysis of Attack-Proneness of Information Systems Applications,112,232,This study investigates the risk of insider threat...
Wattal2010a,Network Externalities and Technology Use: A Quantitative Analysis of Intraorganizational Blogs,53,89,organizationS exPend conSiderable reSourceS to eva...
Weber2008,Editor's Comments – The Rhetoric of Positivism Versus Interpretivism: A Personal View,0,1,A plenary session at the conference was devoted to...
Webster2002,Analyzing the Past to Prepare for the Future: Writing a Literature Review,30,44,"A review of prior, relevant literature is an essen..."
Whyte1997,Understanding user perceptions of information systems success,54,89,There is constant pressure on information systems ...
Wilson2002a,Re-conceptualising failure: social shaping meets IS research,56,70,The aim of this paper is to illustrate the interpl...
Wixom2001,An Empirical Investigation of the Factors Affecting Data Warehousing Success,87,128,The IT implementation literature suggests that var...
Wixom2005,A Theoretical Integration of User Satisfaction and Technology Acceptance,44,93,"I n general, perceptions of information systems (I..."
Wu2012b,Toward a Better Understanding of Behavioral Intention and System Usage Constructs,114,121,"To understand user behavior, researchers have exam..."
Xiao2007,"E-Commerce Product Recommendation Agents: Use, Characteristics, and Impact",196,472,Recommendation agents (RAs) are software agents th...
Xu2011a,The Effects of Service and Consumer Product Knowledge on Online Customer Loyalty,121,215,Research ArticleCustomer loyalty is a key d river ...
Xu2013a,Integrating Service Quality with System and Information Quality: An Empirical Test in the E-Service Context,128,199,Wixom and Todd (2005) integrated the user satisfac...
Xu2014,The Influences of Online Service Technologies and Task Complexity on Efficiency and Personalization,101,173,O nline retailers are increasingly providing servi...
Xu2014e,Retaining and Attracting Users in Social Networking Services: An Empirical Investigation of Cyber Migration,67,148,abstractUsers are the most critical strategic reso...
Yang2011,Satisfaction with Employee Relationship Management Systems: The Impact of Usefulness on Systems Quality Perceptions,99,197,The ability to effectively manage external custome...
Yang2012a,Design Principles of Integrated Information Platform for Emergency Responses: The Case of 2008 Beijing Olympic Games,66,112,ing from the experience obtained while building th...
Yen2015,A Multilevel Approach to Examine Employees' Loyal Use of ERP Systems in Organizations,84,179,over 200 papers on various topics related to innov...
Yoon1995,Assessing Expert Systems Impact on Users’ Jobs,67,131,A comprehensive list of ten major expert systems (...
Yoon1995a,Exploring the Factors Associated with Expert Systems Success,88,157,As the widespread use and company dependency on ex...
Yoon1996,Assessing determinants of desirable ES impact on end-user jobs,78,173,To increase the likelihood of experts systems' suc...
Zahedi2008,Dynamics of Trust Revision: Using Health Infomediaries,59,136,This study explores the process by which trust evo...
Zhang2013a,Explaining Employee Job Performance: The Role of Online and Offline Workplace Communication Network,149,235,By distinguishing between employees' online and of...
Zhou2012,Attracted to or Locked In? Predicting Continuance Intention in Social Virtual World Services,72,211,"Despite tremendous investments, SVWs have experien..."
Zimmer2007,Determinants of the Use of Relational and Nonrelational Information Sources,90,156,ABSTRACT: Although it has been argued that knowled...
Zinatelli1996,End user computing sophistication and success in small firms,27,97,End user computing (EUC) is becoming an increasing...
Brown2011,"Priorities, Policies and Practice of E-Government in a Developing Country Context: ICT Infrastructure and Diffusion in Jamaica",73,120,This paper presents the findings of recent researc...
Narayanaswamy2013,The Impact of Influence Tactics in Information System Development Projects: A Control-Loss Perspective,64,165,Information systems development (ISD) projects are...
Xu2014c,Research Note-The Influences of Online Service Technologies and Task Complexity on Efficiency and Personalization,101,173,O nline retailers are increasingly providing servi...
Grimsley2007,e-Government information systems: Evaluation-led design for public value and client trust,31,53,e-Government systems differ from commercial inform...
Hwang2005,"Investigating Enterprise Systems Adoption: Uncertainty Avoidance, Intrinsic Motivation, and the Technology Acceptance Model",82,160,Enterprise systems are gaining interest from both ...
Irani2005,Evaluating e-government: learning from the experiences of two UK local authorities,51,58,Part of the remit of public sector management incl...
Irani2005a,Linking knowledge transformation to Information Systems evaluation,41,45,The evaluation and assessment of Information Syste...
Irani2008,Learning lessons from evaluating eGovernment: Reflective case experiences that support transformational government,39,47,Central Government strategy of e-inclusion is bein...
Lundell2003,The 2G method for doubly grounding evaluation frameworks,95,79,There are a number of approaches open to an inform...
Shollo2015,The interplay between evidence and judgment in the IT project prioritization process,59,117,abstractStrategic decisions concerning IT investme...
Xue2008,"Information Technology Governance in Information Technology Investment Decision Processes: The Impact of Investment Characteristics, External Environment, And",94,193,This study identifies governance patterns for info...
Altinkemer2011,Productivity and Performance Effects of Business Process Reengineering: A Firm-Level Analysis,115,148,We empirically investigate whether business proces...
Banker2006,"Plant Information Systems, Manufacturing Capabilities, and Plant Performance",95,128,Firms have been investing over $5 billion a year i...
Bardhan2013,Research Note-Business Value of Information Technology: Testing the Interaction Effect of IT and R&D on Tobin' S Q,74,124,T he business case for investing in information te...
Becker2013,Discovering Unobserved Heterogeneity in Structural Equation Models to Avert Validity Threats,147,173,A large proportion of iriformation systems researc...
Bulchand-Gidumal20,Maximizing the Positive Influence of IT for Improving Organizational Performance,54,133,Introduction  The academic body that studies infor...
Gerow2014,Looking Toward the Future of IT-Business Strategic Alignment through the Past: A Meta-Analysis,158,200,Research examining the relationship between IT-bus...
Hess2014,"Reliability Generalization of Perceived Ease of Use, Perceived Usefulness, and Behavioral Intentions",115,243,A reliability generalization study (a meta-analysi...
Hwang2011,Assessing Moderating Effect in Meta-analysis: A Re-Analysis of Top Management Support Studies and Suggestions for Researchers,66,97,Meta-analysis has been increasingly used as a know...
Iyengar2015,"Information Technology Use As a Learning Mechanism: The Impact of IT Use on Knowledge Transfer Effectiveness, Absorptive Capacity, and Franchisee Performance",150,332,This study aims to contribute to the literature th...
Kohli2008,Business Value of IT: An Essay on Expanding Research Directions to Keep up with the Times,32,35,Rajiv KohliMuch of the work on the business value ...
Kumar2004,A Framework for Assessing the Business Value of Information Technology Infrastructures,44,87,Information technology (IT) infrastructure investm...
Lu2010a,Proactive or Reactive IT Leaders? A Test of Two Competing Hypotheses of IT Innovation and Environment Alignment,104,154,When does it benefit a firm to take a lead in inno...
Luo2016,"Information Technology, Cross-Channel Capabilities, and Managerial Actions: Evidence from the Apparel Industry",75,123,Information technology (IT) has changed the dynami...
Menon2013,Blunting Damocles ' Sword : A Longitudinal Model of Healthcare IT Impact on Malpractice Insurance Premium and Quality of Patient Care,92,128,P rior studies on the business value of informatio...
Otim2012a,The Impact of Information Technology Investments on Downside Risk of the Firm: Alternative Measurement of the Business Value of IT,49,157,information systems and investments in technology ...
Pavlou2006,From IT Leveraging Competence to Competitive Advantage in Turbulent Environments: The Case of New Product Development,73,164,A burning question for information systems (IS) re...
Qu2011,Influence of Industry Characteristics on Information Technology Outsourcing,81,227,abstract: Despite the extensive research on inform...
Rai2012a,Interfirm IT Capability Profiles and Communications for Cocreating Relational Value: Evidence from the Logistics Industry,138,219,This study seeks to identify the means by which in...
Richardson2014,IT and Agility in the Social Enterprise: A Case Study of St Jude Children' S Research Hospital' S ``Cure4Kids' ' IT-Platform for International Outreach,40,145,Research ArticleThe agility literature suggests a ...
Sandberg2014,Digital Options Theory for IT Capability Investment,53,135,While research has shown that investments in IT ca...
Sarker2012,Exploring Value Cocreation in Relationships between an ERP Vendor and Its Partners: A Revelatory Case Study,71,133,Contemporary business organizations are increasing...
Schwarz2007a,Looking Forward: Toward an Understanding of the Nature and Definition of IT Acceptance,38,51,In the past two decades the Technology Acceptance ...
Sharma2009,Estimating the Effect of Common Method Variance: The Method-Method Pair Technique with an Illustration from TAM Research,82,119,This paper presents a meta-analysis-based techniqu...
Xue2011a,"Punishment, Justice, and Compliance in Mandatory IT Settings",87,155,T his paper aims to understand the influence of pu...
Xue2012,Efficiency or Innovation: How Do Industry Environments Moderate the Effects of Firms' IT Asset Portfolios?,97,182,Firms invest in a variety of information technolog...
Bharadwaj2013,Digital Business Strategy: Toward a Next Generation of Insights,55,57,"Over the last three decades, the prevailing view o..."
Ceccagnoli2012,Cocreation of Value in a Platform Ecosystem: The Case of Enterprise Software,118,218,It has been argued that platform technology owners...
Chakravarty2013,"Information Technology Competencies, Organizational Agility, and Firm Performance: Enabling and Facilitating Roles",96,143,T he hypercompetitive aspects of modern business e...
Chengalur-Smith2010,An Empirical Analysis of the Business Value of Open Source Infrastructure Technologies,146,139,InduShobha Chengalur-SmithUniversity at Albany -SU...
Coltman2011,Customer Relationship Management and Firm Performance,89,142,"In this paper, we examine the impact of customer r..."
Coltman2015,Strategic IT alignment: twenty-five years on,93,160,The 'jewel in the crown' from the MIT90s [Manageme...
Fichman2014,How Posture-Profile Misalignment in IT Innovation Diminishes Returns: Conceptual Development and Empirical Demonstration,68,129,RobeRt G. Fichman is a professor and department ch...
Fink2011,How Do IT Capabilities Create Strategic Value? Toward Greater Integration of Insights from Reductionistic and Holistic Approaches,75,174,"After more than two decades of intensive research,..."
Gnyawali2010,Competitive Actions and Dynamics in the Digital Age: An Empirical Investigation of Social Networking Firms,66,180,T his paper examines two important questions in th...
Grover2012,Cocreating IT Value: New Capabilities and Metrics for Multifirm Environments,19,20,Most research on IT value has been from the vantag...
Han2012,Value Cocreation and Wealth Spillover in Open Innovation Alliances,80,144,"1In this study, we investigate the economic and st..."
Huang2014,Developing Information Processing Capability for Operational Agility: Implications from a Chinese Manufacturer,77,155,The operational agility literature suffers from a ...
Karhade2015,Patterns in Information Systems Portfolio Prioritization: Evidence from Decision Tree Induction,76,125,Questions pertaining to the locus of information s...
Kettinger2013,Research Note—A View from the Top: Integrated Information Delivery and Effective Information Use from the Senior Executive' S Perspective,86,141,T his study frames antecedents of effective inform...
Kim2016,When Does Repository Kms Use Lift Performance? the Role of Alternative Knowledge Sources and Task Environments,75,128,Despite a general consensus that use of informatio...
Lempinen2014,Exploring Multi-Actor Value Creation in IT Service Processes,71,138,Organizational information technology (IT) needs a...
Li2014c,Consumer Informedness and Firm Information Strategy,52,99,C onsumer informedness plays a critical role in de...
Lim2011,Path Dependence of Dynamic Information Technology Capability: An Empirical Investigation,108,325,absTraCT: Organizations seek to differentiate them...
Lim2013,Sustainability of a Firm' S Reputation for Information Technology Capability: The Role of Senior IT Executives,89,208,This study investigates the development and sustai...
Lu2011,Understanding the Link Between Information Technology Capability and Organizational Agility: An Empirical Examination,117,200,Information technology is generally considered an ...
Mithas2013,How a Firm' S Competitive Environment and Digital Strategic Posture Influence Digital Business Strategy,99,150,"In this paper, we examine how the competitive indu..."
Nevo2010,The Formation and Value of IT-Enabled Resources: Antecedents and Consequences of Synergistic Relationships,108,203,This paper informs the literature on the business ...
Rai2010,Leveraging IT Capabilities and Competitive Process Capabilities for the Management of Interorganizational Relationship Portfolios,138,208,F irms are increasingly dependent on external reso...
Rai2012,Hybrid Relational-Contractual Governance for Business Process Outsourcing,83,194,business processes involve interrelAted Activities...
Roberts2012a,Leveraging Information Technology Infrastructure to Facilitate a Firm's Customer Agility and Competitive Activity: An Empirical Investigation,94,157,this paper investigates how information technology...
Roberts2016,Using Information Systems to Sense Opportunities for Innovation: Integrating Postadoptive Use Behaviors with the Dynamic Managerial Capability Perspective,84,179,Fast-paced environmental changes require that mana...
Seddon2014,Implications for Strategic IS Research of the Resource-Based Theory of the Firm: A Reflection,75,199,abstractThis paper reviews key concepts from the r...
Tan2015,The Role of IS Capabilities in the Development of Multi-Sided Platforms: The Digital Ecosystem Strategy of Alibaba.com,101,244,Research ArticleMulti-sided platforms (MSP) are re...
Teo2016,Do shareholders favor business analytics announcements?,64,90,abstractDespite the growing acceptance of business...
Thiesse2009,Understanding the Value of Integrated RFID Systems: A Case Study from Apparel Retail,119,114,This contribution is concerned with the business v...
Venkatesh2016,Implementation of an Information and Communication Technology in a Developing Country: A Multimethod Longitudinal Study in a Bank in India,82,116,"D eveloping countries, such as India and China, ar..."
Wang2012,Resource Structuring or Capability Building? An Empirical Study of the Business Value of Information Technology,87,236,This paper examines two ways to create business va...
Wilkin2013,Creating Value through Governing IT Deployment in a Public/Private-Sector Inter-Organisational Context: A Human Agency Perspective,70,81,Harnessing value from Information Technology (IT) ...
Wu2015,How Information Technology Governance Mechanisms and Strategic Alignment Influence Organizational Performance: Insights from a Matched Survey of Business and IT Managers,134,235,Previous research has proposed different types for...
Yeow2015,Work Harder or Work Smarter? Information Technology and Resource Allocation in Healthcare Processes,63,113,While the impacts of health information technology...
Yoo2010,Research Commentary —The New Organizing Logic of Digital Innovation: An Agenda for Information Systems Research,39,68,"I n this essay, we argue that pervasive digitizati..."
Hovorka2006,Enabling agile adoption practices through network organizations,35,57,As distributed organizations increasingly rely on ...
Larsen2016,A Tool for Addressing Construct Identity in Literature Reviews and Meta-Analyses,124,154,The problem of detecting whether two behavioral co...
Nickerson2013,A Method for Taxonomy Development and Its Application in Information Systems,126,37,A fundamental problem in many disciplines is the c...
Posey2013,Insiders' Protection of Organizational Information Assets: Development of a Systematics-Based Taxonomy and Theory of Diversity for Protection-Motivated Behaviors,145,223,Protecting information from a variety of security ...
Richard2012,Designing IS Service Strategy: An Information Acceleration Approach,80,105,Information technology-based innovation involves c...
Walsh2015,Using Quantitative Data in Mixed-Design Grounded Theory Studies: An Enhanced Path to Formal Grounded Theory in Information Systems,140,242,ion and scope: it helps sense-making in the drive ...
Arvidsson2014,Information Systems Use As Strategy Practice: A Multi-Dimensional View of Strategic Information System Implementation and Use,84,201,abstractInformation systems (IS) are strategic in ...
Bardhan2006,"Information Technology, Production Process Outsourcing, and Manufacturing Plant Performance",80,123,"spans a number of areas, including the productivit..."
Benitez-Amado2012,"Information Technology, the Organizational Capability of Proactive Corporate Environmental Strategy and Firm Performance: A Resource-based Analysis",54,176,The study of the relationships between information...
Blaskovich2011,Accounting Executives and IT Outsourcing Recommendations: An Experimental Study of the Effect of CIO Skills and Institutional Isomorphism,97,183,Although substantial effort has been devoted to un...
Boddy2005,Maintaining Alignment Over the Long-term: Lessons from the Evolution of an Electronic Point of Sale System,41,71,Research in both the organizational and informatio...
Boh2007,Using Enterprise Architecture Standards in Managing Information Technology,105,254,Organizations increasingly need to build an enterp...
Borman2006,Applying Multiple Perspectives to the BPO Decision: A Case Study of Call Centres in Australia,57,92,Information Technology enabled Business Process Ou...
Chan2011,Managing E-Government System Implementation: A Resource Enactment Perspective,76,130,The research presents a theoretical and empirical ...
Chen2010a,"Information Systems Strategy: Reconceptualization, Measurement, and Implications",215,419,strategy. We contend that our reconceptualization ...
Chen2010f,Antecedents and Effects of CIO Supply-Side and Demand-Side Leadership: A Staged Maturity Model,68,191,as organizations' information technology (It) inve...
Chiasson2005,Taking Industry Seriously in Information Systems Research,46,92,"In this essay, we argue that industry receives lit..."
Chwelos2010,Research Note —Does Technological Progress Alter the Nature of Information Technology As a Production Input? New Evidence and New Results,49,132,P rior research at the firm level finds informatio...
Constantiou2014,"New Games, New Rules: Big Data and the Changing Context of Strategy",103,179,Big data and the mechanisms by which it is produce...
Dao2011,From Green to Sustainability: Information Technology and an Integrated Sustainability Framework,98,217,abstractSustainability has increasingly become imp...
Dawson2016,Governing innovation in US state government: An ecosystem perspective,106,193,"abstractIn the public sector, the strategic quest ..."
Dedrick2010,Impacts of Internal and Interorganizational Information Systems on the Outsourcing of Manufacturing,58,121,"abstractDrawing on transaction cost economics, thi..."
Dhaliwal2011,Alignment within the Software Development Unit: Assessing Structural and Relational Dimensions between Developers and Testers,93,221,abstractJust as business-IT alignment has received...
Dong2009,Research Note - Information Technology in Supply Chains: The Value of IT-Enabled Resources Under Competition,48,118,"I n this study, we seek to better understand the v..."
Goldstein2011,An Event Study Analysis of the Economic Impact of IT Operational Risk and Its Subcategories,61,131,Research ArticleOrganizations' growing exposure to...
Im2013a,Research Note-Do Large Firms Become Smaller by Using Information Technology?,108,258,T he relationship between information technology (...
Karim2007,The Impact of ERP Implementation on Business Process Outcomes: A Factor-Based Study,95,195,Failures in large-scale information technology imp...
Karimi2007,The Role of Information Systems Resources in ERP Capability Building and Business Process Outcomes,97,238,Many enterprise resource planning (ERP) implementa...
Kauffman2009,"The Unified Procurement Strategy for Enterprise Software: A Test of the ""Move to the Middle"" Hypothesis",71,101,abstRact: to increase their firms' competitiveness...
Khoo2011,An Exploratory Study of the Impacts of Upgrading Packaged Software: A Stakeholder Perspective,54,90,Once an organization has adopted packaged software...
Kim2011a,Determining Optimal CRM Implementation Strategies,66,102,A lthough companies have spent a great deal of mon...
Kim2012,Investigating the Value of Sociomaterialism in Conceptualizing IT Capability of a Firm,88,199,Sociomateriality (or sociomaterialism) allows us t...
Koch2010,Developing Dynamic Capabilities in Electronic Marketplaces: A Cross-case Study,37,75,abstractBusiness-to-business (B2B) electronic mark...
Laumer2016,Work routines as an object of resistance during information systems implementations: theoretical foundation and empirical evidence,83,275,"When implementing new information systems, organiz..."
Lin2007,"Realising B2B E-Commerce Benefits: The Link with IT Maturity Evaluation Practices, and B2BEC Adoption Readiness",79,149,Actual realisation of business-to-business electro...
Mukhopadhyay2011,Learning Curves of Agents with Diverse Skills in Information Technology-enabled Physician Referral Systems,52,65,T o improve operational efficiencies while providi...
Qu2010,The Strategic Value of IT Insourcing: An IT-enabled Business Process Perspective,81,152,abstractAlthough research on the business impact o...
Rai2015,Fit and Misfit of Plural Sourcing Strategies and IT-Enabled Process Integration Capabilities: Consequences of Firm Performance in the U.S. Electric Utility Industry,103,170,865 Rai et al./Fit and Misfit of Plural Sourcing S...
Ramiller2008,Research Directions in Information Systems: Toward an Institutional Ecology,49,81,This essay identifies three characteristic problem...
Ren2015,Industry-Level Analysis of Information Technology Return and Risk: What Explains the Variation?,71,154,Motivated by the wide dispersion in the returns on...
Rivard2006,Resource-Based View and Competitive Strategy: An Integrated Model of the Contribution of Information Technology to Firm Performance,52,108,The contribution of IT to business performance has...
Roberts2012,"Absorptive Capacity and Information Systems Research: Review, Synthesis, and Directions for Future Research",207,166,Absorptive capacity is a firm's ability to identif...
Setia2011,The Effects of the Assimilation and Use of IT Applications on Financial Performance in Healthcare Organizations,92,142,Special IssueThi s resear ch exam i nes the i m pa...
Shah2007,A Survey of Critical Success Factors in E-Banking: An Organisational Perspective,46,64,We investigate organisational factors critical to ...
Sila2010,Do Organisational and Environmental Factors Moderate the Effects of Internet-Based Interorganisational Systems on Firm Performance?,99,136,We developed a model of the relationships among se...
Tallon2013,The Information Artifact in IT Governance: Toward a Theory of Information Governance,52,170,"In recent years, chief information officers have b..."
Tebboune2016,Netsourcing strategies for vendors: a resource-based and transaction cost economics perspective,93,194,This paper discusses Netsourcing strategies for ve...
Tian2015,How Do Enterprise Resource Planning Systems Affect Firm Risk? Post-Implementation Impact,101,158,"Managing firm risk, or firm performance volatility..."
Velu2013,Centralizing Data Management with Considerations of Uncertainty and Information-Based Flexibility,34,76,This paper applies the theory of real options to a...
Wagner2014,How Social Capital Among Information Technology and Business Units Drives Operational Alignment and IT Business Value,46,111,It is widely acknowledged that information technol...
Wang2010,Cashing the Hottest IT: Effects of Information Technology Fashion on Organizations,51,111,What happens to organizations that chase the hotte...
Whitaker2010,Organizational Learning and Capabilities for Onshore and Offshore Business Process Outsourcing,76,107,abStract: this paper identifies and analyzes firm-...
Zhang2011a,The Value of IT-Enabled Retailer Learning: Personalized Product Recommendations and Customer Store Loyalty in Electronic Markets,99,127,Recent research has acknowledged the key role of i...
Zhu2006,Innovation Diffusion in Global Contexts: Determinants of Post-Adoption Digital Transformation of European Companies,55,156,Grounded in the diffusion of innovation theory and...
Rowe2012,Toward a Richer Diversity of Genres in Information Systems Research: New Categorization and Guidelines,75,73,These three genres can be distinguished first from...
Vaujany2011,An Historically Grounded Critical Analysis of Research Articles in IS,124,176,s from both journals. Three main logical anchorage...
Rowe2010,Valuing Worldwide Diversity in a European Spirit: Being More Critical and Open,23,23,methods used in EJIS encompass at least 15 differe...
Hoefnagel2014,How Anchoring and Adjusting Influence Citizens’ Acceptance of Video-mediated Crime Reporting: A Narrative Approach,63,159,abstractThis study aims to deepen our understandin...
Belanger2012,Digitizing Government Interactions with Constituents: An Historical Review of E-Government Research in Information Systems,98,114,As information and communication technologies bega...
Hsieh2012,Impact of User Satisfaction with Mandated CRM Use on Employee Service Quality,77,149,An increasing number of organizations are now impl...
Liu2011a,From transactional user to VIP: how organizational and cognitive factors affect ERP assimilation at individual level,28,50,This study extends the enterprise resource plannin...
Pallud2010,User Experience of Museum Technologies: The Phenomenological Scales,97,139,Museums increasingly rely on technology as a guara...
Sedera2010,Knowledge Management Competence for Enterprise System Success,105,103,"abstractThis study conceptualizes, operationalises..."
Choi2010,Implementing Service-Oriented Architecture in Organizations,69,148,Service-oriented architecture (SOA) has been promo...
Cordoba2008,Beyond Organisational Agendas: Using Boundary Critique to Facilitate the Inclusion of Societal Concerns in Information Systems Planning,122,271,As the development of the information society take...
Cordoba2009,Critical Reflection in Planning Information Systems: A Contribution from Critical Systems Thinking,120,163,This paper presents a methodological framework to ...
Gerow2014a,Six Types Of IT-Business Strategic Alignment: An Investigation Of The Constructs And Their Measurement,125,241,Top management has been concerned with IT-business...
Gregory2015,Paradoxes and the Nature of Ambidexterity in IT Transformation Programs,59,146,T hough information technology (IT) transformation...
Karahanna2013,The Effect of Social Capital of the Relationship Between the CIO and Top Management Team on Firm Performance,100,274,abStract: the paper empirically examines the effec...
Lee2015,How Does IT Ambidexterity Impact Organizational Agility?,76,183,O rganizational agility is a significant business ...
Leidner2011,An Empirical Investigation of the Relationship of IS Strategy with Firm Performance,94,174,abstractGiven the important impact that an IS stra...
Markus2013,Commoditized Digital Processes and Business Community Platforms: New Opportunities and Challenges for Digital Business Strategies,17,20,The emergence of the digital business strategy con...
Sawy2010,Research Commentary - Seeking the Configurations of Digital Ecodynamics: It Takes Three to Tango,46,78,T his paper starts from the premise that the simul...
Teubner2007,Strategic Information Systems Planning: A Case Study from the Financial Services Industry,55,87,Strategic Information Systems Planning (SISP) is a...
Woodard2013,Design Capital and Design Moves: The Logic of Digital Business Strategy,80,110,As information technology becomes integral to the ...
Kranz2016,Understanding the Influence of Absorptive Capacity and Ambidexterity on the Process of Business Model Change - the Case of on-Premise and Cloud-Computing Software,105,125,The increasing popularity of Software as a Service...
Im2013,IT-Enabled Coordination for Ambidextrous Interorganizational Relationships,117,197,C ontextual ambidexterity of an interorganizationa...
Schlagwein2014a,Organizational Learning with Crowdsourcing: The Revelatory Case of LEGO,111,157,Extant organizational learning theory conceptualiz...
Choi2012,Complementarities and Substitutabilities Among Knowledge Sourcing Strategies and Their Impact on Firm Performance,102,284,Know l edge sour ci ng str ategy (KSS) i s regar d...
Lim2015,Barriers to Interorganizational Knowledge Transfer in Post-Hospital Care Transitions: Review and Directions for Information Systems Research,86,237,Post-hospital care transitions involve coordinatio...
Carlo2012,A Knowledge-Based Model of Radical Innovation in Small Software Firms,139,362,"In this paper, we adopt the lens of absorptive cap..."
Sharma2014a,Transforming Decision-making Processes: A Research Agenda for Understanding the Impact of Business Analytics on Organisations,66,70,Introduction  Much attention is currently being pa...
Peffers2013,Research Opportunities in Information Technology Funding and System Justification,51,63,This article reviews IT funding and system justifi...
Mithas2016,"Research Note—Information Technology, Customer Satisfaction, and Profit: Theory and Evidence",113,201,T his paper studies the effect of aggregate inform...
Frisk2015,Evaluation of Information System Investments: a Value Dials Approach to Closing the Theory-Practice Gap,86,122,Failed or partially failed information systems (IS...
Hatzakis2005,Towards the development of a social capital approach to evaluating change management interventions,42,63,Many of the issues associated with the inefficienc...
Shang2002,Assessing and managing the benefits of enterprise systems: the business manager' s perspective,118,109,This paper focuses on the benefits that organizati...
Bannister2001,Dismantling the silos: extracting new value from IT investments in public administration,35,58,The drive for information technology-led organizat...
Gallivan2003a,The user-developer communication process: a critical case study,60,84,Although user participation in systems development...
Gosain2005,The management of cross-functional inter-dependencies in ERP implementations: emergent coordination patterns,40,43,This paper reports a study examining cross-functio...
Ko2004,Using regression splines to assess the impact of information technology investments on productivity in the health care industry,63,77,This paper explores the impact of information tech...
Markus1996,Change Agentry—the Next IS Frontier,51,72,We wrote this essay to stimulate IS specialists' e...
Oh2006,The Market' S Perception of the Transactional Risks of Information Technology Outsourcing Announcements,69,126,Despite the fact that several event studies have i...
Peppard2004,Beyond strategic information systems: towards an IS capability,128,190,The evolution of information technology (IT) in or...
Ross1999,The Untapped Potential of IT Chargeback,52,103,The received wisdom on IT chargeback is that a cha...
Baker2011,Conceptualizing the Dynamic Strategic Alignment Competency,102,226,"Research ArticleThis essay addresses the question,..."
Battleson2016,Achieving dynamic capabilities with cloud computing: an empirical investigation,111,180,Cloud computing enables convenient and on-demand a...
Becker2007,Epistemological Perspectives on IS Research: A Framework for Analysing and Systematizing Epistemological Assumptions,84,131,"Over the last three decades, a methodological plur..."
Bhatt2005,Types of Information Technology Capabilities and Their Role in Competitive Advantage: An Empirical Study,72,104,"During the past two decades, both business manager..."
Bradley2012,An Empirical Examination of Antecedents and Consequences of IT Governance in US Hospitals,159,308,Intense pressure to control costs and improve pati...
Butler2008a,An Exploratory Study on IS Capabilities and Assets in a Small-to-Medium Software Enterprise,44,133,There is a dearth of research on the capabilities ...
Chen2005,Assessing Value in Organizational Knowledge Creation: Considerations for Knowledge Workers,57,70,"To maintain competitive advantage, a firm's invest..."
Chengalur-Smith2010a,Sustainability of Free/Libre Open Source Projects: A Longitudinal Study,62,131,InduShobha Chengalur-Smith University at AlbanyThi...
