"citation_key","author","title","year","journal","volume","issue","pages"
"Jurison1996","Jurison, Jaak","Toward more effective management of information technology benefits",1996,"The Journal of Strategic Information Systems",5,4,"263-274"
"Kane2008","Kane, Gerald C. and Alavi, Maryam","Casting the Net: A Multimodal Network Perspective on User-System Interactions",2008,"Information Systems Research",19,3,"253--272"
"Karahanna1999","Karahanna, Elena and Straub, Detmar W. and Chervany, Norman L.","Information Technology Adoption Across Time: A Cross-Sectional Comparison of Pre-Adoption and Post-Adoption Beliefs",1999,"MIS Quarterly",23,2,"183-213"
"Karahanna2013","Karahanna, Elena and Preston, David S.","The Effect of Social Capital of the Relationship Between the CIO and Top Management Team on Firm Performance",2013,"Journal of Management Information Systems",30,1,"15--56"
"Karhade2015","Karhade, Prasanna and Shaw, Michael J. and Subramanyam, Ramanath","Patterns in Information Systems Portfolio Prioritization: Evidence from Decision Tree Induction",2015,"MIS Quarterly",39,2,"413--433"
"Karim2007","Karim, Jahangir and Somers, Toni M. and Bhattacherjee, Anol","The Impact of ERP Implementation on Business Process Outcomes: A Factor-Based Study",2007,"Journal of Management Information Systems",24,1,"101--134"
"Karimi1996","Karimi, Jahangir and Gupta, Yash P. and Somers, Toni M.","Impact of Competitive Strategy and Information Technology Maturity on Firms' Strategic Response to Globalization",1996,"Journal of Management Information Systems",12,4,"55-88"
"Karimi2004","Karimi, Jahangir and Somers, Toni M. and Gupta, Yash P.","Impact of Environmental Uncertainty and Task Characteristics on User Satisfaction with Data",2004,"Information Systems Research",15,2,"175--193"
"Karimi2007","Karimi, Jahangir and Somers, Toni and Bhattacherjee, Anol","The Role of Information Systems Resources in ERP Capability Building and Business Process Outcomes",2007,"Journal of Management Information Systems",24,2,"221--260"
"Kauffman2004","Kauffman, Robert J. and Mohtadi, Hamid","Proprietary and Open Systems Adoption in E-procurement: A Risk-augmented Transaction Cost Perspective",2004,"Journal of Management Information Systems",21,1,"137--166"
"Kauffman2009","Kauffman, Robert J. and Tsai, Juliana Y.","The Unified Procurement Strategy for Enterprise Software: A Test of the ""Move to the Middle"" Hypothesis",2009,"Journal of Management Information Systems",26,2,"177--204"
"Kayande2009","Kayande, Ujwal and Bruyn, Arnaud De and Lilien, Gary L. and Rangaswamy, Arvind and Bruggen, Gerrit H. van","How Incorporating Feedback Mechanisms in a DSS Affects DSS Evaluations",2009,"Information Systems Research",20,4,"527--546"
"Kearns2006","Kearns, Grover S. and Sabherwal, Rajiv","Strategic Alignment between Business and Information Technology: A Knowledge-based View of Behaviors, Outcome, and Consequences",2006,"Journal of Management Information Systems",23,3,"129--162"
"Kelley2011","Kelley, Helen and Chiasson, Mike and Downey, Angela and Pacaud, Danièle","The Clinical Impact of eHealth on the Self-Management of Diabetes: A Double Adoption Perspective",2011,"Journal of the Association for Information Systems",12,3,"208-234"
"Kettinger1997","Kettinger, William and Lee, Choong","Pragmatic Perspectives on the Measurement of Information Systems Service Quality",1997,"MIS Quarterly",21,2,"223--240"
"Kettinger2013","Kettinger, William J. and Zhang, Chen and Chang, Kuo-Chung","Research Note—A View from the Top: Integrated Information Delivery and Effective Information Use from the Senior Executive' S Perspective",2013,"Information Systems Research",24,3,"842--860"
"Khoo2011","Khoo, Huoy Khoo and Robey, Daniel and Rao, Srinivasan Venkoba","An Exploratory Study of the Impacts of Upgrading Packaged Software: A Stakeholder Perspective",2011,"Journal of Information Technology",26,3,"153--169"
"Kim2000","Kim, S. H. and Jang, D. H. and Lee, D. H. and Cho, S. H.","A methodology of constructing a decision path for IT investment",2000,"The Journal of Strategic Information Systems",9,1,"17-38"
"Kim2002","Kim, Jinwoo and Lee, Jungwon and Han, Kwanghee and Lee, Moonkyu","Businesses As Buildings: Metrics for the Architectural Quality of Internet Businesses",2002,"Information Systems Research",13,3,"239--254"
"Kim2007a","Kim, C. and Jahng, J. and Lee, J.","An Empirical Investigation into the Utilization-based Information Technology Success Model: Integrating Task-performance and Social Influence Perspective",2007,"Journal of Information Technology",22,2,"152--160"
"Kim2009c","Kim, Sung S. and Son, Jai-Yeol","Out of Dedication or Constraint? A Dual Model of Post-Adoption Phenomena and its Empirical Test in the Context of Online Services",2009,"MIS Quarterly",33,1,"49-70"
"Kim2011","Kim, Gimun and Shin, Bongsik and Kim, Kyung Kyu and Lee, Ho Geun","IT Capabilities, Process-Oriented Dynamic Capabilities, and Firm Financial Performance",2011,"Journal of the Association for Information Systems",12,7,"487--517"
"Kim2011a","Kim, Seung Hyun and Mukhopadhyay, Tridas","Determining Optimal CRM Implementation Strategies",2011,"Information Systems Research",22,3,"624--639"
"Kim2012","Kim, Gimun and Shin, Bongsik and Kwon, Ohbyung","Investigating the Value of Sociomaterialism in Conceptualizing IT Capability of a Firm",2012,"Journal of Management Information Systems",29,3,"327--362"
"Kim2013","Kim, Hyung Jin and Shin, Bongsik and Lee, Hogeun","The Mediating Role of Psychological Contract Breach in IS Outsourcing: Inter-firm Governance Perspective",2013,"European Journal of Information Systems",22,5,"529--547"
"Kim2016","Kim, Seung Hyun and Mukhopadhyay, Tridas and Kraut, Robert E.","When Does Repository Kms Use Lift Performance? the Role of Alternative Knowledge Sources and Task Environments",2016,"MIS Quarterly",40,1,"133--156"
"King2011","King, John Leslie","CIO: Concept Is Over",2011,"Journal of Information Technology",26,2,"129--138"
"Kirsch2013","Kirsch, Laurie J. and Slaughter, Sandra A.","Managing the Unmanageable: How IS Research Can Contribute to the Scholarship of Cyber Projects",2013,"Journal of the Association for Information Systems",14,4,"198--214"
"Klecun2005","Klecun, Ela and Cornford, Tony","A critical approach to evaluation",2005,"European Journal of Information Systems",14,3,"229-243"
"Klein2007a","Klein, Richard","An empirical examination of patient-physician portal acceptance",2007,"European Journal of Information Systems",16,6,"751-760"
"Klein2009a","Klein, Richard and Rai, Arun","Interfirm Strategic Information Flows in Logistics Supply Chain Relationships",2009,"MIS Quarterly",33,4,"735-762"
"Ko2004","Ko, Myung and Osei-Bryson, Kweku-Muata","Using regression splines to assess the impact of information technology investments on productivity in the health care industry",2004,"Information Systems Journal",14,1,"43-63"
"Ko2011a","Ko, Dong-Gil and Dennis, Alan R.","Profiting from Knowledge Management: The Impact of Time and Experience",2011,"Information Systems Research",22,1,"134--152"
"Koch2010","Koch, Hope","Developing Dynamic Capabilities in Electronic Marketplaces: A Cross-case Study",2010,"The Journal of Strategic Information Systems",19,1,"28--38"
"Koch2012","Koch, Hope and Gonzalez, Ester and Leidner, Dorothy E.","Bridging the work/social divide: the emotional response to organizational social networking sites",2012,"European Journal of Information Systems",21,6,"699-717"
"Kohli2003","Kohli, Rajiv and Devaraj, Sarv","Measuring Information Technology Payoff: A Meta-Analysis of Structural Variables in Firm-Level Empirical Research",2003,"Information Systems Research",14,2,"127--145"
"Kohli2008","Kohli, Rajiv and Grover, Varun","Business Value of IT: An Essay on Expanding Research Directions to Keep up with the Times",2008,"Journal of the Association for Information Systems",9,1,"23--39"
"Kohli2012","Kohli, Rajiv and Devaraj, Sarv and Ow, Terence T.","Does Information Technology Investment Influence a Firm' S Market Value? A Case of Non-Publicly Traded Healthcare Firms",2012,"MIS Quarterly",36,4,"1145--1163"
"Kohli2016","Kohli, Rajiv and Tan, Sharon Swee-Lin","Electronic Health Records: How Can IS Researchers Contribute to Transforming Healthcare?",2016,"MIS Quarterly",40,3,"553--573"
"Kositanurit2006","Kositanurit, Boontaree and Ngwenyama, Ojelanki K. and Osei-Bryson, Kweku-Muata","An exploration of factors that impact individual performance in an ERP environment: an analysis using multiple analytical techniques",2006,"European Journal of Information Systems",15,6,"556-568"
"Kranz2016","Kranz, Johann Joachim and Hanelt, Andre and Kolbe, Lutz M.","Understanding the Influence of Absorptive Capacity and Ambidexterity on the Process of Business Model Change - the Case of on-Premise and Cloud-Computing Software",2016,"Information Systems Journal",26,5,"477--517"
"Krell2009","Krell, Katharina and Matook, Sabine","Competitive Advantage from Mandatory Investments: An Empirical Study of Australian Firms",2009,"The Journal of Strategic Information Systems",18,1,"31--45"
"Kuegler2015","Kügler, Maurice and Smolnik, Stefan and Kane, Gerald","What's in IT for employees? Understanding the relationship between use and performance in enterprise social software",2015,"The Journal of Strategic Information Systems",24,2,"90-112"
"Kuljis1998","Kuljis, Jasna and Macredie, Robert D. and Paul, Ray J.","Information gathering problems in multinational banking",1998,"The Journal of Strategic Information Systems",7,3,"233-245"
"Kulkarni2007","Kulkarni, Uday R. and Ravindran, Sury and Freeze, Ronald","A Knowledge Management Success Model: Theoretical and Development Empirical Validation",2007,"Journal of Management Information Systems",23,3,"309--347"
"Kumar2004","Kumar, Ram L.","A Framework for Assessing the Business Value of Information Technology Infrastructures",2004,"Journal of Management Information Systems",21,2,"11--32"
"Kwon2006","Kwon, Dowan and Watts, Stephanie","IT Valuation in Turbulent Times",2006,"The Journal of Strategic Information Systems",15,4,"327--354"
"Lange2015","Lange, Matthias and Mendling, Jan and Recker, Jan","An empirical analysis of the factors and measures of Enterprise Architecture Management success",2015,"European Journal of Information Systems",25,5,"411-431"
"Lankton2012a","Lankton, Nancy K. and McKnight, Harrison D.","Examining Two Expectation Disconfirmation Theory Models: Assimilation and Asymmetry Effects",2012,"Journal of the Association for Information Systems",13,2,"88--115"
"Larsen1999","Larsen, Melissa A. and Myers, Michael D.","When success turns into failure: a package-driven business process re-engineering project in the financial services industry",1999,"The Journal of Strategic Information Systems",8,4,"395-417"
"Larsen2003","Larsen, Kai R. T.","A Taxonomy Of Antecedents Of Information Systems Success: Variable Analysis Studies",2003,"Journal of Management Information Systems",20,2,"169--246"
"Larsen2009","Larsen, Tor J. and Niederman, Fred and Limayem, Moez and Chan, Joyce","The Role of Modelling in Achieving Information Systems Success: UML to the Rescue?",2009,"Information Systems Journal",19,1,"83--117"
"Larsen2016","Larsen, Kai R. and Bong, Chih How","A Tool for Addressing Construct Identity in Literature Reviews and Meta-Analyses",2016,"MIS Quarterly",40,3,"529-551"
"Lassila1999","Lassila, Kathy S. and Brancheau, James C.","Adoption and Utilization of Commercial Software Packages: Exploring Utilization Equilibria, Transitions, Triggers, and Tracks",1999,"Journal of Management Information Systems",16,2,"63-90"
"Laumer2016","Laumer, Sven and Maier, Christian and Eckhardt, Andreas and Weitzel, Tim","Work routines as an object of resistance during information systems implementations: theoretical foundation and empirical evidence",2016,"European Journal of Information Systems",25,4,"317-343"
"Lee1995","Lee, Denis and Trauth, Eileen and Farwell, Douglas","Critical Skills and Knowledge Requirements of IS Professionals: A Joint Academic/Industry Investigation",1995,"MIS Quarterly",19,3,"313--340"
"Lee2000","Lee, Byungtae and Menon, Nirup M.","Information Technology Value through Different Normative Lenses",2000,"Journal of Management Information Systems",16,4,"99--119"
"Lee2002","Lee, Jooh and Bose, Utpal","Operational Linkage Between Diverse Dimensions of Information Technology Investments and Multifaceted Aspects of a Firm' S Economic Performance",2002,"Journal of Information Technology",17,3,"119--131"
"Lee2003c","Lee, Allen S. and Baskerville, Richard L.","Generalizing Generalizability In Information Systems Research",2003,"Information Systems Research",14,3,"221--243"
"Lee2003d","Lee, Sangjae","Business use of Internet-based information systems: the case of Korea",2003,"European Journal of Information Systems",12,3,"168-181"
"Lee2009c","Lee, Younghwa and Larsen, Kai R.","Threat or Coping Appraisal: Determinants of SMB Executives' Decision to Adopt Anti-Malware Software",2009,"European Journal of Information Systems",18,2,"177--187"
"Lee2009f","Lee, Sang-Hoon and Shin, Bongsik and Lee, Ho Geun","Understanding Post-adoption Usage of Mobile Data Services: The Role of Supplier-side Variables",2009,"Journal of the Association for Information Systems",10,12,"860-888"
"Lee2012b","Lee, JinKyu and Rao, H. Raghav","Service Source and Channel Choice in G2C Service Environments: A Model Comparison in the Anti/Counter-Terrorism Domain",2012,"Information Systems Journal",22,4,"313--341"
"Lee2015","Lee, One-Ki and Sambamurthy, Vallabh and Lim, Kai H. and Wei, Kwok Kee","How Does IT Ambidexterity Impact Organizational Agility?",2015,"Information Systems Research",26,2,"398--417"
"Leidner2009","Leidner, Dorothy E. and Pan, Gary and Pan, Shan L.","The Role of IT in Crisis Response: Lessons from the SARS and Asian Tsunami Disasters",2009,"The Journal of Strategic Information Systems",18,2,"80--99"
"Leidner2011","Leidner, Dorothy E. and Lo, Janice and Preston, David S.","An Empirical Investigation of the Relationship of IS Strategy with Firm Performance",2011,"The Journal of Strategic Information Systems",20,4,"419--437"
"Lempinen2014","Lempinen, Heikki and Rajala, Risto","Exploring Multi-Actor Value Creation in IT Service Processes",2014,"Journal of Information Technology",29,2,"170--185"
"Lewis2003","Lewis, Bruce R. and Byrd, Terry Anthony","Development of a measure for the information technology infrastructure construct",2003,"European Journal of Information Systems",12,2,"93-109"
"Lewis2005","Lewis, Bruce R. and Templeton, Gary F. and Byrd, Terry Anthony","A methodology for construct development in MIS research",2005,"European Journal of Information Systems",14,4,"388-400"
"Li2003","Li, Eldon Y. and Jiang, James J. and Klein, Gary","The Impact of Organizational Coordination and Climate on Marketing Executives' Satisfaction with Information Systems Services",2003,"Journal of the Association for Information Systems",4,"no issue","99-117"
"Li2010","Li, Shanling and Shang, Jennifer and Slaughter, Sandra A.","Why Do Software Firms Fail? Capabilities, Competitive Actions, and Firm Survival in the Software Industry from 1995 to 2007",2010,"Information Systems Research",21,3,"631--654"
"Li2012b","Li, Chan and Peters, Gary F. and Richardson, Vernon J. and Watson, Marcia Weidenmier","The Consequences of Information Technology Control Weaknesses on Management Information Systems: The Case Of Sarbanes--Oxley Internal Control Reports",2012,"MIS Quarterly",36,1,"179--203"
"Li2012c","Li, Ting and Unger, Till","Willing to pay for quality personalization? Trade-off between quality and privacy",2012,"European Journal of Information Systems",21,6,"621-642"
"Li2013b","Li, Xixi and Hsieh, J. J. Po-An and Rai, Arun","Motivational Differences Across Post-Acceptance Information System Usage Behaviors: An Investigation in the Business Intelligence Systems Context",2013,"Information Systems Research",24,3,"659--682"
"Li2014c","Li, Ting and Kauffman, Robert J. and van Heck, Eric and Vervest, Peter and Cellaert, Benedict G. C.","Consumer Informedness and Firm Information Strategy",2014,"Information Systems Research",25,2,"345--363"
"Li2015","Li, Xin and Sun, Sherry X. and Chen, Kun and Fung, Terrance and Wang, Huaiqing","Design Theory for Market Surveillance Systems",2015,"Journal of Management Information Systems",32,2,"278--313"
"Lilien2004","Lilien, Gary L. and Rangaswamy, Arvind and van Bruggen, Gerrit H. and Starke, Katrin","DSS Effectiveness in Marketing Resource Allocation Decisions: Reality Vs. Perception",2004,"Information Systems Research",15,3,"216--235"
"Lim2005","Lim, Eric Tze Kuan and Pan, Shan Ling and Tan, Chee-Wee","Managing user acceptance towards enterprise resource planning (ERP) systems - understanding the dissonance between user expectations and managerial policies",2005,"European Journal of Information Systems",14,2,"135-149"
"Lim2011","Lim, Jee-Hae and Stratopoulos, Theophanis C. and Wirjanto, Tony S.","Path Dependence of Dynamic Information Technology Capability: An Empirical Investigation",2011,"Journal of Management Information Systems",28,3,"45--84"
"Lim2013","Lim, Jee-Hae and Stratopoulos, Theophanis C. and Wirjanto, Tony S.","Sustainability of a Firm' S Reputation for Information Technology Capability: The Role of Senior IT Executives",2013,"Journal of Management Information Systems",30,1,"57--96"
"Lim2015","Lim, Shi Ying and Jarvenpaa, Sirkka L. and Lanham, Holly Jordan","Barriers to Interorganizational Knowledge Transfer in Post-Hospital Care Transitions: Review and Directions for Information Systems Research",2015,"Journal of Management Information Systems",32,3,"48--74"
"Lin2007","Lin, Chad and Huang, Yu-An and Burn, Janice","Realising B2B E-Commerce Benefits: The Link with IT Maturity Evaluation Practices, and B2BEC Adoption Readiness",2007,"European Journal of Information Systems",16,6,"806--819"
"Lin2010a","Lin, Chieh-Peng and Bhattacherjee, Anol","Extending technology usage models to interactive hedonic technologies: a theoretical model and empirical test",2010,"Information Systems Journal",20,2,"163-181"
"Liu2003","Liu, Vanessa and Khalifa, Mohamed","Determinants of Satisfaction at Different Adoption Stages of Internet-Based Services",2003,"Journal of the Association for Information Systems",4,"no issue","206-232"
"Liu2010d","Liu, Shan and Zhang, Jinlong and Keil, Mark and Chen, Tao","Comparing senior executive and project manager perceptions of IT project risk: a Chinese Delphi study",2010,"Information Systems Journal",20,4,"319-355"
"Liu2011a","Liu, Luning and Feng, Yuqiang and Hu, Qing and Huang, Xiaojian","From transactional user to VIP: how organizational and cognitive factors affect ERP assimilation at individual level",2011,"European Journal of Information Systems",20,2,"186-200"
"Liu2012a","Liu, Liping and Li, Chan and Zhu, Dan","A New Approach to Testing Nomological Validity and Its Application to a Second-Order Measurement Model of Trust",2012,"Journal of the Association for Information Systems",13,12,"950-975"
"Loebbecke2007","Loebbecke, Claudia","Use of Innovative Content Integration Information Technology at the Point of Sale",2007,"European Journal of Information Systems",16,3,"228--236"
"Loh1998","Loh, L. and Ong, Y. S.","The adoption of Internet-based stock trading: a conceptual framework and empirical results",1998,"Journal of Information Technology",13,2,"81-94"
"Lopes2006a","Lopes, Alexandre B. and Galletta, Dennis F.","Consumer Perceptions and Willingness to Pay for Intrinsically Motivated Online Content",2006,"Journal of Management Information Systems",23,2,"203-231"
"Lowry2013a","Lowry, Paul Benjamin and Moody, Gregory D. and Galletta, Dennis F. and Vance, Anthony","The Drivers in the Use of Online Whistle-Blowing Reporting Systems",2013,"Journal of Management Information Systems",30,1,"153--189"
"Lu2010a","Lu, Ying and Ramamurthy, Keshavamurthy","Proactive or Reactive IT Leaders? A Test of Two Competing Hypotheses of IT Innovation and Environment Alignment",2010,"European Journal of Information Systems",19,5,"601--618"
"Lu2011","Lu, Ying and Ramamurthy, K. Ram","Understanding the Link Between Information Technology Capability and Organizational Agility: An Empirical Examination",2011,"MIS Quarterly",35,4,"931--954"
"Lundell2003","Lundell, Björn and Lings, Brian","The 2G method for doubly grounding evaluation frameworks",2003,"Information Systems Journal",13,4,"375-398"
"Luo2016","Luo, Jifeng and Fan, Ming and Zhang, Han","Information Technology, Cross-Channel Capabilities, and Managerial Actions: Evidence from the Apparel Industry",2016,"Journal of the Association for Information Systems",17,5,"308-327"
"Lycett1999","Lycett, M. and Paul, R. J.","Information systems development: a perspective on the challenge of evolutionary complexity",1999,"European Journal of Information Systems",8,2,"127-135"
"Lynch2004","Lynch, Teresa and Gregor, Shirley","User Participation in Decision Support Systems Development: Influencing System Outcomes",2004,"European Journal of Information Systems",13,4,"286--301"
"Mahmood2000","Mahmood, Mo Adam and Mann, Gary J.","Special Issue: Impacts of Information Technology Investment on Organizational Performance",2000,"Journal of Management Information Systems",16,4,"3-10"
"Malhotra2003","Malhotra, Yogesh and Galletta, Dennis","A Multidimensional Commitment Model Of Volitional Systems Adoption And Usage Behavior",2003,"Journal of Management Information Systems",22,1,"117--151"
"Marakas1996","Marakas, G. M. and Hornik, S.","Passive resistance misuse: overt support and covert recalcitrance in IS implementation",1996,"European Journal of Information Systems",5,3,"208-219"
"Marble2000","Marble, Robert P.","Operationalising the Implementation Puzzle: An Argument for Eclecticism in Research and in Practice",2000,"European Journal of Information Systems",9,3,"132--147"
"Marcolin2000","Marcolin, Barbara L. and Compeau, Deborah R. and Munro, Malcolm C. and Huff, Sid L.","Assessing User Competence: Conceptualization and Measurement",2000,"Information Systems Research",11,1,"37--60"
"Markus1996","Markus, M. Lynne and Benjamin, Robert I.","Change Agentry—the Next IS Frontier",1996,"MIS Quarterly",20,4,"385--407"
"Markus2000","Markus, M. L. and Axline, S. and Petrie..., D.","Learning from adopters' experiences with ERP: problems encountered and success achieved",2000,"Journal of Information Technology",15,4,"245-265"
"Markus2004","Markus, M. Lynne and Mao, Ji-Ye","Participation In Development And Implementation-updating An Old, Tired Concept For Today' S IS Contexts",2004,"Journal of the Association for Information Systems",5,11,"514--544"
"Markus2013","Markus, M. Lynne and Loebbecke, Claudia","Commoditized Digital Processes and Business Community Platforms: New Opportunities and Challenges for Digital Business Strategies",2013,"MIS Quarterly",37,2,"649--654"
"Martin2003","Martin, A.","What drives the configuration of information technology projects? Exploratory research in 10 organizations",2003,"Journal of Information Technology",18,1,"1-15"
"Mathiassen2003","Mathiassen, Lars","Service Provision in a Software Technology Unit",2003,"Journal of Information Technology",18,3,"195--209"
"McBride1997","McBride, Neil","The rise and fall of an executive information system: a case study",1997,"Information Systems Journal",7,4,"277-287"
"McElroy2007","McElroy, James C. and Hendrickson, Anthony R. and Townsend, Anthony M. and DeMarie, Samuel M.","Dispositional Factors in Internet Use: Personality Versus Cognitive Style",2007,"MIS Quarterly",31,4,"809-820"
"McKeen1994","McKeen, James D. and Guimaraes, Tor and Wetherbe, James C.","The Relationship Between User Participation and User Satisfaction: An Investigation of Four Contingency Factors",1994,"MIS Quarterly",18,4,"427-451"
"McKeen1997","McKeen, James D. and Guimaraes, Tor","Successful Strategies for User Participation in Systems Development",1997,"Journal of Management Information Systems",14,2,"133-150"
"McKinney2002","McKinney, Vicki R. and Yoon, Kanghyun and Zahedi, Fatemeh","The Measurement of Web-Customer Satisfaction: An Expectation and Disconfirmation Approach",2002,"Information Systems Research",13,3,"296-315"
"Melville2004","Melville, Nigel and Kraemer, Kenneth and Gurbaxani, Vijay","Review: Information Technology and Organizational Performance: An Integrative Model of IT Business Value",2004,"MIS Quarterly",28,2,"283--322"
"Menon2000","Menon, Nirup M. and Lee, Byungtae and Eldenburg, Leslie","Productivity of Information Systems in the Healthcare Industry",2000,"Information Systems Research",11,1,"83--92"
"Menon2013","Menon, Nirup M. and Kohli, Rajiv","Blunting Damocles ' Sword : A Longitudinal Model of Healthcare IT Impact on Malpractice Insurance Premium and Quality of Patient Care",2013,"Information Systems Research",24,4,"918--932"
"Merali2012","Merali, Yasmin and Papadopoulos, Thanos and Nadkarni, Tanvee","Information Systems Strategy: Past, Present, Future?",2012,"The Journal of Strategic Information Systems",21,2,"125--153"
"Merono-Cerdan2007","Meroño-Cerdan, Angel L. and Soto-Acosta, Pedro","External Web Content and Its Influence on Organizational Performance",2007,"European Journal of Information Systems",16,1,"66--80"
"Meso2005","Meso, Peter and Musa, Philip and Mbarika, Victor","Towards a Model of Consumer Use of Mobile Information and Communication Technology in LDCs: The Case of Sub-Saharan Africa",2005,"Information Systems Journal",15,2,"119--146"
"Middleton2003","Middleton, C. A.","What if there is no killer application? An exploration of a user?centric perspective on broadband",2003,"Journal of Information Technology",18,4,"231-245"
"Mishra2007","Mishra, Abhay Nath and Konana, Prabhudev and Barua, Anitesh","Antecedents and Consequences of Internet Use in Procurement: An Empirical Investigation of U.S. Manufacturing Firms",2007,"Information Systems Research",18,1,"103--120"
"Mishra2010","Mishra, Abhay Nath and Agarwal, Ritu","Technological Frames, Organizational Capabilities, and IT Use: An Empirical Investigation of Electronic Procurement",2010,"Information Systems Research",21,2,"249--270"
"Mithas2007","Mithas, Sunil and Whitaker, Jonathan","Is the World Flat or Spiky? Information Intensity, Skills, and Global Service Disaggregation",2007,"Information Systems Research",18,3,"237--259"
"Mithas2008","Mithas, Sunil and Jones, Joni L. and Mitchell, Will","Buyer Intention to Use Internet-Enabled Reverse Auctions: The Role of Asset Specificity, Product Specialization, and Non-Contractibility",2008,"MIS Quarterly",32,4,"705--724"
"Mithas2011","Mithas, Sunil and Ramasubbu, Narayan and Sambamurthy, V.","How Information Management Capability Influences Firm Performance",2011,"MIS Quarterly",35,1,"237--256"
"Mithas2012","Mithas, Sunil and Tafti, Ali and Bardhan, Indranil and Goh, Jie Mein","Information Technology and Firm Profitability: Mechanisms and Empirical Evidence",2012,"MIS Quarterly",36,1,"205--224"
"Mithas2013","Mithas, Sunil and Tafti, Ali and Mitchell, Will","How a Firm' S Competitive Environment and Digital Strategic Posture Influence Digital Business Strategy",2013,"MIS Quarterly",37,2,"511--536"
"Mithas2016","Mithas, Sunil and Krishnan, M. S. and Fornell, Claes","Research Note—Information Technology, Customer Satisfaction, and Profit: Theory and Evidence",2016,"Information Systems Research",27,1,"166--181"
"Mithas2016a","Mithas, Sunil and Rust, Roland T.","How Information Technology Strategy and Investments Influence Firm Performance: Conjecture and Empirical Evidence",2016,"MIS Quarterly",40,1,"223--245"
"Mitra1996","Mitra, Sabyasachi and Chaya, Antoine Karim","Analyzing Cost-Effectiveness of Organizations: The Impact of Information Technology Spending",1996,"Journal of Management Information Systems",13,2,"29-57"
"Mitra2005","Mitra, Sabyasachi","Information Technology As an Enabler of Growth in Firms: An Empirical Assessment",2005,"Journal of Management Information Systems",22,2,"279--300"
"Mohdzain2007","Mohdzain, Mohdzaher B. and Ward, John M.","A study of subsidiaries' views of information systems strategic planning in multinational organisations",2007,"The Journal of Strategic Information Systems",16,4,"324-352"
"Montoya2010","Montoya, Mitzi M. and Massey, Anne P. and Khatri, Vijay","Connecting IT Services Operations to Services Marketing Practices",2010,"Journal of Management Information Systems",26,4,"65--85"
"Moody1998","Moody, Janette W. and Blanton, J. Ellis and Cheney, Paul H.","A Theoretically Grounded Approach to Assist Memory Recall during Information Requirements Determination",1998,"Journal of Management Information Systems",15,1,"79--98"
"Morris2010","Morris, Michael G. and Venkatesh, Viswanath","Job Characteristics and Job Satisfaction: Understanding the Role of Enterprise Resource Planning System Implementation",2010,"MIS Quarterly",34,1,"143-161"
"Mueller2010","Mueller, Benjamin and Viering, Goetz and Legner, Christine and Riempp, Gerold","Understanding the Economic Potential of Service-Oriented Architecture",2010,"Journal of Management Information Systems",26,4,"145--180"
"Mukhopadhyay1995","Mukhopadhyay, Tridas and Kekre, Sunder and Kalathur, Suresh","Business Value of Information Technology: A Study of Electronic Data Interchange",1995,"MIS Quarterly",19,2,"137-156"
"Mukhopadhyay2011","Mukhopadhyay, Tridas and Singh, ParamVir and Kim, Seung Hyun","Learning Curves of Agents with Diverse Skills in Information Technology-enabled Physician Referral Systems",2011,"Information Systems Research",22,3,"586--605"
"Murphy2002","Murphy, Kenneth E. and Simon, Steven J.","Intangible benefits valuation in ERP projects",2002,"Information Systems Journal",12,4,"301-320"
"Nadkarni2007","Nadkarni, Sucheta and Gupta, Reetika","A Task-based Model Of Perceived Website Complexity",2007,"MIS Quarterly",31,3,"501--524"
"Narayanaswamy2013","Narayanaswamy, Ravi and Grover, Varun and Henry, Raymond","The Impact of Influence Tactics in Information System Development Projects: A Control-Loss Perspective",2013,"Journal of Management Information Systems",30,1,"191--225"
"Nazir2012","Nazir, Salman and Pinsonneault, Alain","IT and Firm Agility: An Electronic Integration Perspective",2012,"Journal of the Association for Information Systems",13,3,"150--171"
"Nelson1996","Nelson, Kay and Cooprider, Jay","The Contribution of Shared Knowledge to IS Group Performance",1996,"MIS Quarterly",20,4,"409--432"
"Nelson2005","Nelson, R. Ryan and Todd, Peter A. and Wixom, Barbara H.","Antecedents of Information and System Quality: An Empirical Examination within the Context of Data Warehousing",2005,"Journal of Management Information Systems",21,4,"199--235"
"Nevo2007b","Nevo, Saggi and Wade, Michael R. and Cook, Wade D.","An Examination of the Trade-Off between Internal and External IT Capabilities",2007,"The Journal of Strategic Information Systems",16,1,"5--23"
"Nevo2010","Nevo, Saggi and Wade, Michael R.","The Formation and Value of IT-Enabled Resources: Antecedents and Consequences of Synergistic Relationships",2010,"MIS Quarterly",34,1,"163--183"
"Nevo2011","Nevo, Saggi and Wade, Michael","Firm-level Benefits of IT-enabled Resources: A Conceptual Extension and an Empirical Assessment",2011,"The Journal of Strategic Information Systems",20,4,"403--418"
"Newell2014","Newell, Sue","Managing Knowledge and Managing Knowledge Work: What We Know and What the Future Holds",2015,"Journal of Information Technology",30,1,"1-17"
"Nickerson2013","Nickerson, Robert C. and Varshney, Upkar and Muntermann, Jan","A Method for Taxonomy Development and Its Application in Information Systems",2013,"European Journal of Information Systems",22,3,"336--359"
"Nicolaou2006","Nicolaou, Andreas I. and McKnight, D. Harrison","Perceived Information Quality in Data Exchanges: Effects on Risk, Trust, and Intention to Use",2006,"Information Systems Research",17,4,"332--351"
